Folded pygeostat_saved_data                    
           5
X                                       
Y                                       
Z                                       
Cu                                      
Fold (out of   5)
33290.500000 28437.500000 855.787500 0.035490   3
33290.500000 28437.500000 865.787500 0.009380   5
33290.500000 28437.500000 875.787500 0.031690   1
33989.600000 28383.000000 760.212500 0.050100   1
33989.600000 28383.000000 780.212500 0.036100   5
33989.600000 28383.000000 790.212500 0.015750   3
33989.600000 28383.000000 800.212500 0.016870   4
33989.600000 28383.000000 820.212500 0.064640   5
33989.600000 28383.000000 830.212500 0.071580   3
33989.600000 28383.000000 840.212500 0.052450   4
33989.600000 28383.000000 850.212500 0.061970   1
33989.600000 28383.000000 860.212500 0.058300   3
33989.600000 28383.000000 870.212500 0.060540   1
33989.600000 28383.000000 880.212500 0.077340   5
33989.600000 28383.000000 900.212500 0.060730   3
33989.600000 28383.000000 910.212500 0.110000   4
33327.100000 28733.600000 829.337500 0.040590   4
33327.100000 28733.600000 839.337500 0.064300   5
33327.100000 28733.600000 849.337500 0.049010   3
33327.100000 28733.600000 869.337500 0.083400   1
33327.100000 28733.600000 879.337500 0.094760   4
33990.300000 29115.000000 1125.062000 0.001000   4
33990.300000 29115.000000 1135.062000 0.001000   5
33990.300000 29115.000000 1145.062000 0.001000   3
33990.300000 29115.000000 1165.062000 0.009270   1
33990.300000 29115.000000 1175.062000 0.009030   5
33990.300000 29115.000000 1185.062000 0.037020   4
33990.300000 29115.000000 1205.062000 0.051940   1
33990.300000 29115.000000 1215.062000 0.045020   5
33990.300000 29115.000000 1225.062000 0.069650   4
33990.300000 29115.000000 1235.062000 0.025180   3
34723.300000 28753.100000 1046.012000 0.056740   3
34723.300000 28753.100000 1056.012000 0.066950   1
34723.300000 28753.100000 1076.012000 0.023980   5
34723.300000 28753.100000 1086.012000 0.054040   4
34723.300000 28753.100000 1106.012000 0.040660   1
34723.300000 28753.100000 1116.012000 0.018670   4
34723.300000 28753.100000 1126.012000 0.112210   3
34723.300000 28753.100000 1136.012000 0.210630   5
34723.300000 28753.100000 1146.012000 0.123510   1
34723.300000 28753.100000 1166.012000 0.171320   5
34723.300000 28753.100000 1176.012000 0.083510   1
34723.300000 28753.100000 1186.012000 0.082200   4
34723.300000 28753.100000 1196.012000 0.093970   3
34723.300000 28753.100000 1206.012000 0.033120   5
34723.300000 28753.100000 1216.012000 0.042960   4
34723.300000 28753.100000 1236.012000 0.014740   1
35395.300000 28203.800000 762.112500 0.414270   3
35395.300000 28203.800000 772.112500 0.210440   4
35395.300000 28203.800000 782.112500 0.288250   1
35395.300000 28203.800000 792.112500 0.291090   5
35395.300000 28203.800000 812.112500 0.182510   1
35395.300000 28203.800000 832.112500 0.617790   4
35395.300000 28203.800000 842.112500 0.849630   3
35395.300000 28203.800000 852.112500 0.507750   3
35395.300000 28203.800000 872.112500 0.324610   5
35395.300000 28203.800000 882.112500 0.365370   1
35395.300000 28203.800000 892.112500 0.495550   4
35395.300000 28203.800000 902.112500 0.322500   1
35395.300000 28203.800000 912.112500 0.442130   3
35395.300000 28203.800000 922.112500 0.227090   3
35395.300000 28203.800000 942.112500 0.210710   5
35395.300000 28203.800000 952.112500 0.174890   4
35395.300000 28203.800000 962.112500 0.242160   5
35395.300000 28203.800000 972.112500 0.248320   1
35395.300000 28203.800000 982.112500 0.444880   3
35395.300000 28203.800000 992.112500 0.301400   4
35395.300000 28203.800000 1012.112000 0.242800   5
35395.300000 28203.800000 1032.113000 0.307570   4
35395.300000 28203.800000 1042.113000 0.203940   1
35395.300000 28203.800000 1052.113000 0.458920   5
35395.300000 28203.800000 1062.113000 0.641720   3
35395.300000 28203.800000 1072.113000 0.416770   4
34346.600000 28567.600000 894.437500 0.121680   4
34346.600000 28567.600000 904.437500 0.158260   1
34346.600000 28567.600000 914.437500 0.148710   5
34346.600000 28567.600000 924.437500 0.117530   3
34346.600000 28567.600000 954.437500 0.070400   4
34346.600000 28567.600000 964.437500 0.139160   3
34346.600000 28567.600000 974.437500 0.112770   1
34346.600000 28567.600000 984.437500 0.110790   5
34346.600000 28567.600000 994.437500 0.186820   4
34346.600000 28567.600000 1014.438000 0.224220   5
34346.600000 28567.600000 1024.438000 0.156100   4
34346.600000 28567.600000 1034.438000 0.254690   3
34346.600000 28567.600000 1044.438000 0.196550   1
34346.600000 28567.600000 1064.438000 0.070310   5
34346.600000 28567.600000 1074.438000 0.171290   3
34346.600000 28567.600000 1084.438000 0.055550   4
34346.600000 28567.600000 1094.438000 0.017800   1
33480.600000 29160.100000 1009.237000 0.029150   1
33480.600000 29160.100000 1029.237000 0.020060   4
33480.600000 29160.100000 1039.237000 0.042700   3
33480.600000 29160.100000 1049.237000 0.003920   5
33480.600000 29160.100000 1059.237000 0.008280   1
33480.600000 29160.100000 1079.237000 0.022690   4
33480.600000 29160.100000 1089.237000 0.039860   5
33480.600000 29160.100000 1099.237000 0.017270   3
33480.600000 29160.100000 1119.237000 0.001000   1
33480.600000 29160.100000 1129.237000 0.001000   5
33480.600000 29160.100000 1139.237000 0.001000   4
33480.600000 29160.100000 1149.237000 0.001000   5
33480.600000 29160.100000 1159.237000 0.001000   4
33480.600000 29160.100000 1169.237000 0.012450   3
33480.600000 29160.100000 1189.237000 0.005720   1
35334.100000 28202.500000 924.912500 0.369920   3
35334.100000 28202.500000 934.912500 0.572580   1
35334.100000 28202.500000 944.912500 0.447020   5
35334.100000 28202.500000 954.912500 0.371450   4
35334.100000 28202.500000 964.912500 0.222750   5
35334.100000 28202.500000 994.912500 0.908340   3
35334.100000 28202.500000 1004.912000 0.755300   1
35334.100000 28202.500000 1014.912000 1.813800   4
35334.100000 28202.500000 1024.912000 0.422030   5
35334.100000 28202.500000 1044.912000 0.403720   3
35334.100000 28202.500000 1054.912000 0.599970   5
35334.100000 28202.500000 1064.912000 0.641300   1
35334.100000 28202.500000 1074.912000 1.641970   4
35217.000000 28206.600000 694.987500 0.190460   3
35217.000000 28206.600000 704.987500 0.250610   4
35217.000000 28206.600000 724.987500 0.307440   1
35217.000000 28206.600000 734.987500 0.356910   5
35217.000000 28206.600000 744.987500 0.544510   4
35217.000000 28206.600000 754.987500 0.459850   3
35217.000000 28206.600000 764.987500 0.347140   5
35217.000000 28206.600000 784.987500 0.354490   3
35217.000000 28206.600000 794.987500 0.433650   1
35217.000000 28206.600000 804.987500 0.462030   4
35217.000000 28206.600000 824.987500 0.395490   3
35217.000000 28206.600000 834.987500 0.342030   5
35217.000000 28206.600000 844.987500 0.385400   4
35217.000000 28206.600000 854.987500 0.477650   1
35217.000000 28206.600000 864.987500 0.737840   5
35217.000000 28206.600000 884.987500 0.415580   1
35217.000000 28206.600000 894.987500 0.263280   5
35217.000000 28206.600000 904.987500 0.387250   3
35217.000000 28206.600000 914.987500 0.440630   3
35217.000000 28206.600000 924.987500 0.375690   4
35217.000000 28206.600000 934.987500 0.339800   1
35217.000000 28206.600000 944.987500 0.508470   4
